BinCenter;Histo01;Histo02;Histo03;Histo04
70029.5;12;10;10;0
70042.5;11;15;15;0
70055.5;15;12;12;0
70068.5;11;9;9;0
70081.5;21;18;18;0
70094.5;7;14;14;0
70107.5;9;14;14;0
70120.5;9;9;9;0
70133.5;10;18;18;0
70146.5;8;11;11;0
70159.5;7;18;18;0
70172.5;16;11;11;0
70185.5;10;17;17;0
70198.5;14;12;12;0
70211.5;13;12;12;0
70224.5;9;13;13;0
70237.5;10;14;14;0
70250.5;8;8;8;0
70263.5;8;13;13;0
70276.5;9;14;14;0
70289.5;12;15;15;0
70302.5;11;13;13;0
70315.5;13;12;12;0
70328.5;12;14;14;0
70341.5;5;17;17;0
70354.5;6;9;9;0
70367.5;11;14;14;0
70380.5;10;11;11;0
70393.5;6;16;16;0
70406.5;11;19;19;0
70419.5;6;7;7;0
70432.5;4;12;12;0
70445.5;16;17;17;0
70458.5;13;8;8;0
70471.5;19;15;15;0
70484.5;5;16;16;0
70497.5;13;12;12;0
70510.5;14;14;14;0
70523.5;7;17;17;0
70536.5;9;11;11;0
70549.5;9;12;12;0
70562.5;10;11;11;0
70575.5;5;13;13;0
70588.5;13;8;8;0
70601.5;11;18;18;0
70614.5;10;11;11;0
70627.5;10;8;8;0
70640.5;9;11;11;0
70653.5;8;13;13;0
70666.5;13;8;8;0
70679.5;13;13;13;0
70692.5;9;14;14;0
70705.5;8;10;10;0
70718.5;9;12;12;0
70731.5;15;15;15;0
70744.5;10;10;10;0
70757.5;10;9;9;0
70770.5;12;8;8;0
70783.5;7;12;12;0
70796.5;9;9;9;0
70809.5;11;13;13;0
70822.5;6;9;9;0
70835.5;8;7;7;0
70848.5;7;10;10;0
70861.5;7;12;12;0
70874.5;9;12;12;0
70887.5;10;8;8;0
70900.5;7;16;16;0
70913.5;8;7;7;0
70926.5;7;17;17;0
70939.5;13;11;11;0
70952.5;10;8;8;0
70965.5;10;7;7;0
70978.5;8;16;16;0
70991.5;12;12;12;0
71004.5;12;10;10;0
71017.5;15;10;10;0
71030.5;13;14;14;0
71043.5;5;16;16;0
71056.5;8;15;15;0
71069.5;13;10;10;0
71082.5;11;7;7;0
71095.5;10;16;16;0
71108.5;15;11;11;0
71121.5;9;16;16;0
71134.5;10;9;9;0
71147.5;13;14;14;0
71160.5;7;5;5;0
71173.5;10;11;11;0
71186.5;12;13;13;0
71199.5;10;9;9;0
71212.5;11;9;9;0
71225.5;11;14;14;0
71238.5;13;9;9;0
71251.5;9;18;18;0
71264.5;2;6;6;0
71277.5;8;7;7;0
71290.5;10;13;13;0
71303.5;12;6;6;0
71316.5;5;18;18;0
71329.5;15;7;7;0
71342.5;14;11;11;0
71355.5;5;13;13;0
71368.5;10;14;14;0
71381.5;14;12;12;0
71394.5;8;15;15;0
71407.5;12;14;14;0
71420.5;13;12;12;0
71433.5;11;7;7;0
71446.5;12;9;9;0
71459.5;16;8;8;0
71472.5;14;8;8;0
71485.5;8;10;10;0
71498.5;8;14;14;0
71511.5;4;15;15;0
71524.5;9;13;13;0
71537.5;14;12;12;0
71550.5;14;10;10;0
71563.5;4;11;11;0
71576.5;18;14;14;0
71589.5;8;9;9;0
71602.5;11;5;5;0
71615.5;4;12;12;0
71628.5;10;12;12;0
71641.5;10;15;15;0
71654.5;9;10;10;0
71667.5;16;5;5;0
71680.5;12;14;14;0
71693.5;9;16;16;0
71706.5;9;12;12;0
71719.5;10;11;11;0
71732.5;11;7;7;0
71745.5;14;11;11;0
71758.5;10;8;8;0
71771.5;16;11;11;0
71784.5;7;10;10;0
71797.5;10;11;11;0
71810.5;11;8;8;0
71823.5;10;18;18;0
71836.5;12;12;12;0
71849.5;10;12;12;0
71862.5;9;8;8;0
71875.5;5;13;13;0
71888.5;12;10;10;0
